Full Name,Username,Department,Birthday,Age,Pronouns
Amina Yusuf,ayusuf,Veterinary,1992-04-11,33,She/Her
Juno Keller,jkeller,Veterinary,1997-01-30,28,They/He
Nia Calderón,ncalderon,Veterinary,1985-03-08,40,She/They
Blake Tanaka,btanaka,Research_Education,1987-11-02,37,He/Him
Harper Lin,hlin,Research_Education,1993-09-01,31,She/They
Leo Abiola,labiola,Research_Education,1990-04-17,34,Ze/They
Casey Delorme,cdelorme,Animal_Care,1999-06-18,25,They/She
Niko Zhang,nzhang,Animal_Care,2000-12-03,24,They/He
Priya Singh,psingh,Animal_Care,1996-01-22,28,She/Her
Farrah Patel,fpatel,Executives,1984-12-29,40,She/Her
Mason Oakley,moakley,Executives,1979-03-25,46,He/Her
Olivia Adeyemi,oadeyemi,Management,1994-06-09,30,She/Her
Kiran Ali,kali,Management,1988-10-10,36,He/Him
Camille Duong,cduong,Management,1992-02-14,33,She/Her
Idris Bowen,ibowen,IT,1990-03-12,35,He/Him
Quinn Rivera,qrivera,IT,1991-01-04,34,They/Them
Dario Santiago,dsantiago,Maintenance,1975-02-23,50,He/Him
Tamsin Chu,tchu,Maintenance,1980-10-21,44,She/Her
Bojan Novak,bnovak,Maintenance,1995-08-11,29,Ze/Them
Eli Navarro,enavarro,Guest_Services,2001-08-14,23,They/Them
Riley Thompkins,rthompkins,Guest_Services,1998-05-29,26,He/They
Andrea Marin,amarin,Guest_Services,1993-06-04,31,She/Her
Greer Simmons,gsimmons,Security,1996-05-05,28,Ze/Them
Skylar Ortiz,sortiz,Security,1986-02-16,39,They/She
Laila Mendes,lmendes,Volunteers,2005-07-07,19,She/Her
Zion Blaise,zblaise,Volunteers,2004-11-17,20,Ze/They
Ana Campos,acampos,Volunteers,2003-09-27,21,She/Her
Dev Patel,dpatel,Volunteers,2006-01-16,18,He/Him
Myles Rivers,mrivers,Volunteers,2002-07-23,22,They/Them
Juniper Snow,jsnow,Volunteers,2005-03-10,19,They/Ze
Frankie Salazar,fsalazar,Volunteers,2001-12-15,23,He/Her
Morgan Yang,myang,Volunteers,2007-04-06,17,They/She
Ayaan Hussein,ahussein,Volunteers,2003-10-03,21,He/Him
Ren Nakamura,rnakamura,Volunteers,2004-06-28,20,She/They
Ezra Thompson,ethompson,Volunteers,2002-02-08,22,They/Them
Mira Goldstein,mgoldstein,Volunteers,2006-11-30,18,She/Her
Tori Anders,tanders,Volunteers,2004-05-19,20,They/She
Nikita Voss,nvoss,Volunteers,2003-01-19,21,Ze/They
Omar Bashir,obashir,Volunteers,2005-09-09,19,He/Him
Xia Li,xli,Volunteers,2006-08-05,18,She/They
Kiki Onwuatuegwu,konwuatuegwu,Volunteers,2004-12-22,19,She/Her
Yusuf Ameen,yameen,Volunteers,2002-10-27,22,He/Him
Meera Venkatesh,mvenkatesh,Volunteers,2005-11-11,18,She/They
Ayo Westbrook,awestbrook,Volunteers,2007-02-25,17,They/She
Jo Ramos,jramos,Volunteers,2006-03-01,18,They/Them
Keilani Chavez,kchavez,Volunteers,2004-01-02,20,She/Her
Noor Rahman,nrahman,Volunteers,2005-05-15,19,They/He
Zia Ortega,zortega,Volunteers,2003-06-13,21,She/Her
Rio Lavigne,rlavigne,Volunteers,2002-09-14,22,Ze/They
Talin Moradi,tmoradi,Volunteers,2003-07-02,21,He/They
Avery Flores,aflores,Volunteers,2005-10-29,18,They/Them
Isla Kwon,ikwon,Volunteers,2006-12-08,17,She/Her
Zeke Anderson,zanderson,Volunteers,2007-06-01,17,He/Him
